플랫폼,날짜,순위,게임명,퍼블리셔
구글플레이,2025-07-09,75,서머너즈 워 X TEKKEN 8,Com2uS
구글플레이,2025-07-09,76,사북성:언데드,Star Entertainment HK
구글플레이,2025-07-09,77,삼국지 전략판,Qookka Games
구글플레이,2025-07-09,78,패스 오브 라이징,SPGFun
구글플레이,2025-07-09,79,클래시 오브 클랜,Supercell
구글플레이,2025-07-09,80,꿈의 마을 (Township),Playrix
구글플레이,2025-07-09,81,퍼즐 오브 Z,"BLANCOZONE NETWORK CO., LIMITED"
구글플레이,2025-07-09,82,데블M,37 Mobile Games
구글플레이,2025-07-09,83,마피아42,TEAM42
구글플레이,2025-07-09,84,기적의 검,4399 KOREA
구글플레이,2025-07-09,85,왔더벅: 미니 삼국-라바 콜라보 실시!,BYTEFUN GAMES PTE. LTD.
구글플레이,2025-07-09,86,배틀그라운드,"KRAFTON, Inc."
구글플레이,2025-07-09,87,뮤 모나크2,Webzen Inc.
구글플레이,2025-07-09,88,레이싱 마스터(Racing Master),Exptional Global
구글플레이,2025-07-09,89,이세계 판타지 라이프,ESTARGAMES
구글플레이,2025-07-09,90,MLB 9이닝스 25,Com2uS
구글플레이,2025-07-09,91,미르2: 깨어난 사북성,HK ZHILI YAOAN LIMITED
구글플레이,2025-07-09,92,라이즈 오브 킹덤즈,LilithGames
구글플레이,2025-07-09,93,뮤 모나크,Webzen Inc.
구글플레이,2025-07-09,94,에이지 오브 제트: 타워 디펜스,CamelStudio
구글플레이,2025-07-09,95,패밀리 아일랜드 - 농장모험게임,Melsoft Games Ltd
구글플레이,2025-07-09,96,카트라이더 러쉬플러스,NEXON Company
구글플레이,2025-07-09,97,"WPL : 홀덤, 토너먼트, 오마하, 올인폴드, 픽앤고",Zempot INC.
구글플레이,2025-07-09,98,인생존망겜,37GAMES
구글플레이,2025-07-09,99,포켓몬 카드 게임 Pocket,The Pok?mon Company
구글플레이,2025-07-09,100,맛있는 여행: 합성 게임,Century Games PTE. LTD.
구글플레이,2025-07-10,1,리니지M,NCSOFT
구글플레이,2025-07-10,2,오딘: 발할라 라이징,Kakao Games Corp.
구글플레이,2025-07-10,3,마비노기 모바일,NEXON Company
구글플레이,2025-07-10,4,WOS: 화이트아웃 서바이벌,Century Games PTE. LTD.
구글플레이,2025-07-10,5,라스트 워: 서바이벌,FUNFLY PTE. LTD.
구글플레이,2025-07-10,6,RF 온라인 넥스트,Netmarble
구글플레이,2025-07-10,7,붕괴: 스타레일,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-10,8,세븐나이츠 리버스,Netmarble
구글플레이,2025-07-10,9,갓깨비 키우기-999뽑기 증정,Joy Nice Games
구글플레이,2025-07-10,10,Roblox,Roblox Corporation
구글플레이,2025-07-10,11,로얄 매치 Royal Match,"Dream Games, Ltd."
구글플레이,2025-07-10,12,한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯,NHN Corp.
구글플레이,2025-07-10,13,한게임 포커,NHN Corp.
구글플레이,2025-07-10,14,리니지W,NCSOFT
구글플레이,2025-07-10,15,Last Z: Survival Shooter,Florere Game
구글플레이,2025-07-10,16,FC 모바일,NEXON Company
구글플레이,2025-07-10,17,킹샷:Kingshot,Century Games PTE. LTD.
구글플레이,2025-07-10,18,리니지2M,NCSOFT
구글플레이,2025-07-10,19,메이플스토리M,NEXON Company
구글플레이,2025-07-10,20,승리의 여신: 니케,Level Infinite
구글플레이,2025-07-10,21,DK모바일 리본,NTRANCE CORP.
구글플레이,2025-07-10,22,I9: 인페르노 나인 - <나만뉴> 콜라보,"Leniu Technology Co., Limited"
구글플레이,2025-07-10,23,한게임 섯다&맞고,NHN Corp.
구글플레이,2025-07-10,24,레전드 오브 이미르,"Wemade Co., Ltd"
