플랫폼,날짜,순위,게임명,퍼블리셔
구글플레이,2025-07-25,81,한게임 신맞고 : 대한민국 원조 고스톱,NHN Corp.
구글플레이,2025-07-25,82,하스스톤,"Blizzard Entertainment, Inc."
구글플레이,2025-07-25,83,귀신의 저주: 검객,WSCL Games Ltd.
구글플레이,2025-07-25,84,소녀전선2: 망명,HaoPlay Limited
구글플레이,2025-07-25,85,명조:워더링 웨이브,HK KURO GAMES LIMITED
구글플레이,2025-07-25,86,뮤 모나크,Webzen Inc.
구글플레이,2025-07-25,87,기적의 검,4399 KOREA
구글플레이,2025-07-25,88,컴투스프로야구2025,Com2uS
구글플레이,2025-07-25,89,좀비 웨이브스,Fun Formula
구글플레이,2025-07-25,90,콩콩던전,Habby
구글플레이,2025-07-25,91,창세기전 모바일,LINE Games
구글플레이,2025-07-25,92,로드나인,"Smilegate Holdings, Inc"
구글플레이,2025-07-25,93,Top War: Battle Game,RiverGame
구글플레이,2025-07-25,94,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc"
구글플레이,2025-07-25,95,쿠키런: 킹덤,Devsisters Corporation
구글플레이,2025-07-25,96,패밀리 아일랜드 - 농장모험게임,Melsoft Games Ltd
구글플레이,2025-07-25,97,에이지 오브 제트: 타워 디펜스,CamelStudio
구글플레이,2025-07-25,98,저니 오브 모나크,NCSOFT
구글플레이,2025-07-25,99,라이즈 오브 킹덤즈,LilithGames
구글플레이,2025-07-25,100,레이싱 마스터(Racing Master),Exptional Global
구글플레이,2025-07-26,1,리니지M,NCSOFT
구글플레이,2025-07-26,2,WOS: 화이트아웃 서바이벌,Century Games PTE. LTD.
구글플레이,2025-07-26,3,라스트 워: 서바이벌,FUNFLY PTE. LTD.
구글플레이,2025-07-26,4,마비노기 모바일,NEXON Company
구글플레이,2025-07-26,5,승리의 여신: 니케,Level Infinite
구글플레이,2025-07-26,6,세븐나이츠 리버스,Netmarble
구글플레이,2025-07-26,7,오딘: 발할라 라이징,Kakao Games Corp.
구글플레이,2025-07-26,8,Roblox,Roblox Corporation
구글플레이,2025-07-26,9,로얄 매치 Royal Match,"Dream Games, Ltd."
구글플레이,2025-07-26,10,RF 온라인 넥스트,Netmarble
구글플레이,2025-07-26,11,킹샷:Kingshot,Century Games PTE. LTD.
구글플레이,2025-07-26,12,젠레스 존 제로,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-26,13,갓깨비 키우기-999뽑기 증정,Joy Nice Games
구글플레이,2025-07-26,14,리니지W,NCSOFT
구글플레이,2025-07-26,15,Last Z: Survival Shooter,Florere Game
구글플레이,2025-07-26,16,FC 모바일,NEXON Company
구글플레이,2025-07-26,17,Limbus Company,Project Moon
구글플레이,2025-07-26,18,붕괴: 스타레일,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-26,19,Dark War Survival,Florere Game
구글플레이,2025-07-26,20,리니지2M,NCSOFT
구글플레이,2025-07-26,21,DK모바일 리본,NTRANCE CORP.
구글플레이,2025-07-26,22,탑 히어로즈,RiverGame
구글플레이,2025-07-26,23,씨사이드 익스케이프: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-26,24,I9: 인페르노 나인 - <나만뉴> 콜라보,"Leniu Technology Co., Limited"
구글플레이,2025-07-26,25,가십하버: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-26,26,명일방주,Yostar Limited.
구글플레이,2025-07-26,27,블루 아카이브,NEXON Company
구글플레이,2025-07-26,28,운빨존많겜,111%
구글플레이,2025-07-26,29,한게임 포커,NHN Corp.
구글플레이,2025-07-26,30,꿈의 정원 (Gardenscapes),Playrix
구글플레이,2025-07-26,31,사북성:언데드,Star Entertainment HK
구글플레이,2025-07-26,32,냥코 대전쟁,PONOS Corporation
구글플레이,2025-07-26,33,레전드 오브 이미르,"Wemade Co., Ltd"
구글플레이,2025-07-26,34,인생존망겜,37GAMES
구글플레이,2025-07-26,35,브롤스타즈,Supercell
구글플레이,2025-07-26,36,한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯,NHN Corp.
구글플레이,2025-07-26,37,배틀그라운드,"KRAFTON, Inc."
구글플레이,2025-07-26,38,EA SPORTS FC Online M,NEXON Company
구글플레이,2025-07-26,39,메이플스토리M,NEXON Company
구글플레이,2025-07-26,40,우마무스메 프리티 더비,Kakao Games Corp.
구글플레이,2025-07-26,41,브라운더스트2 - 어드벤처 RPG,NEOWIZ
구글플레이,2025-07-26,42,리니지2 레볼루션,Netmarble
구글플레이,2025-07-26,43,랜드 오브 제일,SINGAPORE JUST GAME TECHNOLOGY PTE. LTD.
구글플레이,2025-07-26,44,로얄 킹덤 (Royal Kingdom),"Dream Games, Ltd."
구글플레이,2025-07-26,45,컴투스프로야구V25,Com2uS
구글플레이,2025-07-26,46,캔디크러쉬사가 (Candy Crush Saga),King
구글플레이,2025-07-26,47,트릭컬 리바이브,EPIDGames
구글플레이,2025-07-26,48,클래시 로얄,Supercell
구글플레이,2025-07-26,49,실버 앤 블러드:뱀파이어 RPG,Vizta Games
구글플레이,2025-07-26,50,한게임 섯다&맞고,NHN Corp.
구글플레이,2025-07-26,51,나이트 크로우,"Wemade Co., Ltd"
구글플레이,2025-07-26,52,"피망 포커 : 카지노 로얄 - 홀덤, 7포커, 바둑이",NEOWIZ corp
구글플레이,2025-07-26,53,레이븐2,Netmarble
구글플레이,2025-07-26,54,아키에이지 워,Kakao Games Corp.
구글플레이,2025-07-26,55,Travel Town - 결합 어드벤처,Magmatic Games LTD
구글플레이,2025-07-26,56,꿈의 마을 (Township),Playrix
구글플레이,2025-07-26,57,SD건담 지 제네레이션 이터널,Bandai Namco Entertainment Inc.
구글플레이,2025-07-26,58,원신,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-26,59,꿈의 집 (Homescapes),Playrix
구글플레이,2025-07-26,60,Shadowverse: Worlds Beyond,"Cygames, Inc."
구글플레이,2025-07-26,61,퍼즐 오브 Z,"BLANCOZONE NETWORK CO., LIMITED"
구글플레이,2025-07-26,62,eFootball™,KONAMI
구글플레이,2025-07-26,63,에픽세븐,"Smilegate Holdings, Inc"
구글플레이,2025-07-26,64,블레이드&소울 레볼루션,Netmarble
구글플레이,2025-07-26,65,메카 어셈블:좀비 스웜,ONEMT SGP
구글플레이,2025-07-26,66,에그몬 월드:저니,"Apollo Technology Co.,Ltd"
구글플레이,2025-07-26,67,궁수의 전설2,Habby
구글플레이,2025-07-26,68,아레스 : 라이즈 오브 가디언즈,Kakao Games Corp.
구글플레이,2025-07-26,69,토치라이트: 인피니트,XD Entertainment Pte Ltd
구글플레이,2025-07-26,70,버섯커 키우기-3000뽑기 증정,Joy Nice Games
구글플레이,2025-07-26,71,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp
구글플레이,2025-07-26,72,뮤 모나크2,Webzen Inc.
구글플레이,2025-07-26,73,서머너즈 워 X TEKKEN 8,Com2uS
구글플레이,2025-07-26,74,맛있는 여행: 합성 게임,Century Games PTE. LTD.
구글플레이,2025-07-26,75,모에라이: 운명의 계약,Ujoy Games
구글플레이,2025-07-26,76,패스 오브 라이징,SPGFun
구글플레이,2025-07-26,77,데블M,37 Mobile Games
구글플레이,2025-07-26,78,Top Girl,A3Games
구글플레이,2025-07-26,79,피쉬돔 (Fishdom),Playrix
구글플레이,2025-07-26,80,미르2: 깨어난 사북성,HK ZHILI YAOAN LIMITED
구글플레이,2025-07-26,81,한게임 신맞고 : 대한민국 원조 고스톱,NHN Corp.
구글플레이,2025-07-26,82,하스스톤,"Blizzard Entertainment, Inc."
구글플레이,2025-07-26,83,귀신의 저주: 검객,WSCL Games Ltd.
구글플레이,2025-07-26,84,소녀전선2: 망명,HaoPlay Limited
구글플레이,2025-07-26,85,명조:워더링 웨이브,HK KURO GAMES LIMITED
구글플레이,2025-07-26,86,뮤 모나크,Webzen Inc.
구글플레이,2025-07-26,87,기적의 검,4399 KOREA
구글플레이,2025-07-26,88,컴투스프로야구2025,Com2uS
구글플레이,2025-07-26,89,좀비 웨이브스,Fun Formula
구글플레이,2025-07-26,90,콩콩던전,Habby
구글플레이,2025-07-26,91,창세기전 모바일,LINE Games
구글플레이,2025-07-26,92,로드나인,"Smilegate Holdings, Inc"
구글플레이,2025-07-26,93,Top War: Battle Game,RiverGame
구글플레이,2025-07-26,94,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc"
구글플레이,2025-07-26,95,쿠키런: 킹덤,Devsisters Corporation
구글플레이,2025-07-26,96,패밀리 아일랜드 - 농장모험게임,Melsoft Games Ltd
구글플레이,2025-07-26,97,에이지 오브 제트: 타워 디펜스,CamelStudio
구글플레이,2025-07-26,98,저니 오브 모나크,NCSOFT
구글플레이,2025-07-26,99,라이즈 오브 킹덤즈,LilithGames
구글플레이,2025-07-26,100,레이싱 마스터(Racing Master),Exptional Global
구글플레이,2025-07-27,1,리니지M,NCSOFT
구글플레이,2025-07-27,2,WOS: 화이트아웃 서바이벌,Century Games PTE. LTD.
구글플레이,2025-07-27,3,라스트 워: 서바이벌,FUNFLY PTE. LTD.
구글플레이,2025-07-27,4,마비노기 모바일,NEXON Company
구글플레이,2025-07-27,5,승리의 여신: 니케,Level Infinite
구글플레이,2025-07-27,6,세븐나이츠 리버스,Netmarble
구글플레이,2025-07-27,7,오딘: 발할라 라이징,Kakao Games Corp.
구글플레이,2025-07-27,8,Roblox,Roblox Corporation
구글플레이,2025-07-27,9,로얄 매치 Royal Match,"Dream Games, Ltd."
구글플레이,2025-07-27,10,RF 온라인 넥스트,Netmarble
구글플레이,2025-07-27,11,킹샷:Kingshot,Century Games PTE. LTD.
구글플레이,2025-07-27,12,젠레스 존 제로,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-27,13,갓깨비 키우기-999뽑기 증정,Joy Nice Games
구글플레이,2025-07-27,14,리니지W,NCSOFT
구글플레이,2025-07-27,15,Last Z: Survival Shooter,Florere Game
구글플레이,2025-07-27,16,FC 모바일,NEXON Company
구글플레이,2025-07-27,17,Limbus Company,Project Moon
구글플레이,2025-07-27,18,붕괴: 스타레일,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-27,19,Dark War Survival,Florere Game
구글플레이,2025-07-27,20,리니지2M,NCSOFT
구글플레이,2025-07-27,21,DK모바일 리본,NTRANCE CORP.
구글플레이,2025-07-27,22,탑 히어로즈,RiverGame
구글플레이,2025-07-27,23,씨사이드 익스케이프: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-27,24,I9: 인페르노 나인 - <나만뉴> 콜라보,"Leniu Technology Co., Limited"
구글플레이,2025-07-27,25,가십하버: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-27,26,명일방주,Yostar Limited.
구글플레이,2025-07-27,27,블루 아카이브,NEXON Company
구글플레이,2025-07-27,28,운빨존많겜,111%
구글플레이,2025-07-27,29,한게임 포커,NHN Corp.
구글플레이,2025-07-27,30,꿈의 정원 (Gardenscapes),Playrix
구글플레이,2025-07-27,31,사북성:언데드,Star Entertainment HK
구글플레이,2025-07-27,32,냥코 대전쟁,PONOS Corporation
구글플레이,2025-07-27,33,레전드 오브 이미르,"Wemade Co., Ltd"
구글플레이,2025-07-27,34,인생존망겜,37GAMES
구글플레이,2025-07-27,35,브롤스타즈,Supercell
구글플레이,2025-07-27,36,한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯,NHN Corp.
구글플레이,2025-07-27,37,배틀그라운드,"KRAFTON, Inc."
구글플레이,2025-07-27,38,EA SPORTS FC Online M,NEXON Company
구글플레이,2025-07-27,39,메이플스토리M,NEXON Company
구글플레이,2025-07-27,40,우마무스메 프리티 더비,Kakao Games Corp.
구글플레이,2025-07-27,41,브라운더스트2 - 어드벤처 RPG,NEOWIZ
구글플레이,2025-07-27,42,리니지2 레볼루션,Netmarble
구글플레이,2025-07-27,43,랜드 오브 제일,SINGAPORE JUST GAME TECHNOLOGY PTE. LTD.
구글플레이,2025-07-27,44,로얄 킹덤 (Royal Kingdom),"Dream Games, Ltd."
구글플레이,2025-07-27,45,컴투스프로야구V25,Com2uS
구글플레이,2025-07-27,46,캔디크러쉬사가 (Candy Crush Saga),King
구글플레이,2025-07-27,47,트릭컬 리바이브,EPIDGames
구글플레이,2025-07-27,48,클래시 로얄,Supercell
구글플레이,2025-07-27,49,실버 앤 블러드:뱀파이어 RPG,Vizta Games
구글플레이,2025-07-27,50,한게임 섯다&맞고,NHN Corp.
구글플레이,2025-07-27,51,나이트 크로우,"Wemade Co., Ltd"
구글플레이,2025-07-27,52,"피망 포커 : 카지노 로얄 - 홀덤, 7포커, 바둑이",NEOWIZ corp
구글플레이,2025-07-27,53,레이븐2,Netmarble
구글플레이,2025-07-27,54,아키에이지 워,Kakao Games Corp.
구글플레이,2025-07-27,55,Travel Town - 결합 어드벤처,Magmatic Games LTD
구글플레이,2025-07-27,56,꿈의 마을 (Township),Playrix
구글플레이,2025-07-27,57,SD건담 지 제네레이션 이터널,Bandai Namco Entertainment Inc.
구글플레이,2025-07-27,58,원신,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-27,59,꿈의 집 (Homescapes),Playrix
구글플레이,2025-07-27,60,Shadowverse: Worlds Beyond,"Cygames, Inc."
구글플레이,2025-07-27,61,퍼즐 오브 Z,"BLANCOZONE NETWORK CO., LIMITED"
구글플레이,2025-07-27,62,eFootball™,KONAMI
구글플레이,2025-07-27,63,에픽세븐,"Smilegate Holdings, Inc"
구글플레이,2025-07-27,64,블레이드&소울 레볼루션,Netmarble
구글플레이,2025-07-27,65,메카 어셈블:좀비 스웜,ONEMT SGP
구글플레이,2025-07-27,66,에그몬 월드:저니,"Apollo Technology Co.,Ltd"
구글플레이,2025-07-27,67,궁수의 전설2,Habby
구글플레이,2025-07-27,68,아레스 : 라이즈 오브 가디언즈,Kakao Games Corp.
구글플레이,2025-07-27,69,토치라이트: 인피니트,XD Entertainment Pte Ltd
구글플레이,2025-07-27,70,버섯커 키우기-3000뽑기 증정,Joy Nice Games
구글플레이,2025-07-27,71,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp
구글플레이,2025-07-27,72,뮤 모나크2,Webzen Inc.
구글플레이,2025-07-27,73,서머너즈 워 X TEKKEN 8,Com2uS
구글플레이,2025-07-27,74,맛있는 여행: 합성 게임,Century Games PTE. LTD.
구글플레이,2025-07-27,75,모에라이: 운명의 계약,Ujoy Games
구글플레이,2025-07-27,76,패스 오브 라이징,SPGFun
구글플레이,2025-07-27,77,데블M,37 Mobile Games
구글플레이,2025-07-27,78,Top Girl,A3Games
구글플레이,2025-07-27,79,피쉬돔 (Fishdom),Playrix
구글플레이,2025-07-27,80,미르2: 깨어난 사북성,HK ZHILI YAOAN LIMITED
구글플레이,2025-07-27,81,한게임 신맞고 : 대한민국 원조 고스톱,NHN Corp.
구글플레이,2025-07-27,82,하스스톤,"Blizzard Entertainment, Inc."
구글플레이,2025-07-27,83,귀신의 저주: 검객,WSCL Games Ltd.
구글플레이,2025-07-27,84,소녀전선2: 망명,HaoPlay Limited
구글플레이,2025-07-27,85,명조:워더링 웨이브,HK KURO GAMES LIMITED
구글플레이,2025-07-27,86,뮤 모나크,Webzen Inc.
구글플레이,2025-07-27,87,기적의 검,4399 KOREA
구글플레이,2025-07-27,88,컴투스프로야구2025,Com2uS
구글플레이,2025-07-27,89,좀비 웨이브스,Fun Formula
구글플레이,2025-07-27,90,콩콩던전,Habby
구글플레이,2025-07-27,91,창세기전 모바일,LINE Games
구글플레이,2025-07-27,92,로드나인,"Smilegate Holdings, Inc"
구글플레이,2025-07-27,93,Top War: Battle Game,RiverGame
구글플레이,2025-07-27,94,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc"
구글플레이,2025-07-27,95,쿠키런: 킹덤,Devsisters Corporation
구글플레이,2025-07-27,96,패밀리 아일랜드 - 농장모험게임,Melsoft Games Ltd
구글플레이,2025-07-27,97,에이지 오브 제트: 타워 디펜스,CamelStudio
구글플레이,2025-07-27,98,저니 오브 모나크,NCSOFT
구글플레이,2025-07-27,99,라이즈 오브 킹덤즈,LilithGames
구글플레이,2025-07-27,100,레이싱 마스터(Racing Master),Exptional Global
구글플레이,2025-07-28,1,리니지M,NCSOFT
구글플레이,2025-07-28,2,WOS: 화이트아웃 서바이벌,Century Games PTE. LTD.
구글플레이,2025-07-28,3,라스트 워: 서바이벌,FUNFLY PTE. LTD.
구글플레이,2025-07-28,4,마비노기 모바일,NEXON Company
구글플레이,2025-07-28,5,승리의 여신: 니케,Level Infinite
구글플레이,2025-07-28,6,세븐나이츠 리버스,Netmarble
구글플레이,2025-07-28,7,오딘: 발할라 라이징,Kakao Games Corp.
구글플레이,2025-07-28,8,Roblox,Roblox Corporation
구글플레이,2025-07-28,9,로얄 매치 Royal Match,"Dream Games, Ltd."
구글플레이,2025-07-28,10,RF 온라인 넥스트,Netmarble
구글플레이,2025-07-28,11,킹샷:Kingshot,Century Games PTE. LTD.
구글플레이,2025-07-28,12,젠레스 존 제로,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-28,13,갓깨비 키우기-999뽑기 증정,Joy Nice Games
구글플레이,2025-07-28,14,리니지W,NCSOFT
구글플레이,2025-07-28,15,Last Z: Survival Shooter,Florere Game
구글플레이,2025-07-28,16,FC 모바일,NEXON Company
구글플레이,2025-07-28,17,Limbus Company,Project Moon
구글플레이,2025-07-28,18,붕괴: 스타레일,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-28,19,Dark War Survival,Florere Game
구글플레이,2025-07-28,20,리니지2M,NCSOFT
구글플레이,2025-07-28,21,DK모바일 리본,NTRANCE CORP.
구글플레이,2025-07-28,22,탑 히어로즈,RiverGame
구글플레이,2025-07-28,23,씨사이드 익스케이프: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-28,24,I9: 인페르노 나인 - <나만뉴> 콜라보,"Leniu Technology Co., Limited"
구글플레이,2025-07-28,25,가십하버: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-28,26,명일방주,Yostar Limited.
구글플레이,2025-07-28,27,블루 아카이브,NEXON Company
구글플레이,2025-07-28,28,운빨존많겜,111%
구글플레이,2025-07-28,29,한게임 포커,NHN Corp.
구글플레이,2025-07-28,30,꿈의 정원 (Gardenscapes),Playrix
구글플레이,2025-07-28,31,사북성:언데드,Star Entertainment HK
구글플레이,2025-07-28,32,냥코 대전쟁,PONOS Corporation
구글플레이,2025-07-28,33,레전드 오브 이미르,"Wemade Co., Ltd"
구글플레이,2025-07-28,34,인생존망겜,37GAMES
구글플레이,2025-07-28,35,브롤스타즈,Supercell
구글플레이,2025-07-28,36,한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯,NHN Corp.
구글플레이,2025-07-28,37,배틀그라운드,"KRAFTON, Inc."
구글플레이,2025-07-28,38,EA SPORTS FC Online M,NEXON Company
구글플레이,2025-07-28,39,메이플스토리M,NEXON Company
구글플레이,2025-07-28,40,우마무스메 프리티 더비,Kakao Games Corp.
구글플레이,2025-07-28,41,브라운더스트2 - 어드벤처 RPG,NEOWIZ
구글플레이,2025-07-28,42,리니지2 레볼루션,Netmarble
구글플레이,2025-07-28,43,랜드 오브 제일,SINGAPORE JUST GAME TECHNOLOGY PTE. LTD.
구글플레이,2025-07-28,44,로얄 킹덤 (Royal Kingdom),"Dream Games, Ltd."
구글플레이,2025-07-28,45,컴투스프로야구V25,Com2uS
구글플레이,2025-07-28,46,캔디크러쉬사가 (Candy Crush Saga),King
구글플레이,2025-07-28,47,트릭컬 리바이브,EPIDGames
구글플레이,2025-07-28,48,클래시 로얄,Supercell
구글플레이,2025-07-28,49,실버 앤 블러드:뱀파이어 RPG,Vizta Games
구글플레이,2025-07-28,50,한게임 섯다&맞고,NHN Corp.
구글플레이,2025-07-28,51,나이트 크로우,"Wemade Co., Ltd"
구글플레이,2025-07-28,52,"피망 포커 : 카지노 로얄 - 홀덤, 7포커, 바둑이",NEOWIZ corp
구글플레이,2025-07-28,53,레이븐2,Netmarble
구글플레이,2025-07-28,54,아키에이지 워,Kakao Games Corp.
구글플레이,2025-07-28,55,Travel Town - 결합 어드벤처,Magmatic Games LTD
구글플레이,2025-07-28,56,꿈의 마을 (Township),Playrix
구글플레이,2025-07-28,57,SD건담 지 제네레이션 이터널,Bandai Namco Entertainment Inc.
구글플레이,2025-07-28,58,원신,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-28,59,꿈의 집 (Homescapes),Playrix
구글플레이,2025-07-28,60,Shadowverse: Worlds Beyond,"Cygames, Inc."
구글플레이,2025-07-28,61,퍼즐 오브 Z,"BLANCOZONE NETWORK CO., LIMITED"
구글플레이,2025-07-28,62,eFootball™,KONAMI
구글플레이,2025-07-28,63,에픽세븐,"Smilegate Holdings, Inc"
구글플레이,2025-07-28,64,블레이드&소울 레볼루션,Netmarble
구글플레이,2025-07-28,65,메카 어셈블:좀비 스웜,ONEMT SGP
구글플레이,2025-07-28,66,에그몬 월드:저니,"Apollo Technology Co.,Ltd"
구글플레이,2025-07-28,67,궁수의 전설2,Habby
구글플레이,2025-07-28,68,아레스 : 라이즈 오브 가디언즈,Kakao Games Corp.
구글플레이,2025-07-28,69,토치라이트: 인피니트,XD Entertainment Pte Ltd
구글플레이,2025-07-28,70,버섯커 키우기-3000뽑기 증정,Joy Nice Games
구글플레이,2025-07-28,71,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp
구글플레이,2025-07-28,72,뮤 모나크2,Webzen Inc.
구글플레이,2025-07-28,73,서머너즈 워 X TEKKEN 8,Com2uS
구글플레이,2025-07-28,74,맛있는 여행: 합성 게임,Century Games PTE. LTD.
구글플레이,2025-07-28,75,모에라이: 운명의 계약,Ujoy Games
구글플레이,2025-07-28,76,패스 오브 라이징,SPGFun
구글플레이,2025-07-28,77,데블M,37 Mobile Games
구글플레이,2025-07-28,78,Top Girl,A3Games
구글플레이,2025-07-28,79,피쉬돔 (Fishdom),Playrix
구글플레이,2025-07-28,80,미르2: 깨어난 사북성,HK ZHILI YAOAN LIMITED
구글플레이,2025-07-28,81,한게임 신맞고 : 대한민국 원조 고스톱,NHN Corp.
구글플레이,2025-07-28,82,하스스톤,"Blizzard Entertainment, Inc."
구글플레이,2025-07-28,83,귀신의 저주: 검객,WSCL Games Ltd.
구글플레이,2025-07-28,84,소녀전선2: 망명,HaoPlay Limited
구글플레이,2025-07-28,85,명조:워더링 웨이브,HK KURO GAMES LIMITED
구글플레이,2025-07-28,86,뮤 모나크,Webzen Inc.
구글플레이,2025-07-28,87,기적의 검,4399 KOREA
구글플레이,2025-07-28,88,컴투스프로야구2025,Com2uS
구글플레이,2025-07-28,89,좀비 웨이브스,Fun Formula
구글플레이,2025-07-28,90,콩콩던전,Habby
구글플레이,2025-07-28,91,창세기전 모바일,LINE Games
구글플레이,2025-07-28,92,로드나인,"Smilegate Holdings, Inc"
구글플레이,2025-07-28,93,Top War: Battle Game,RiverGame
구글플레이,2025-07-28,94,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc"
구글플레이,2025-07-28,95,쿠키런: 킹덤,Devsisters Corporation
구글플레이,2025-07-28,96,패밀리 아일랜드 - 농장모험게임,Melsoft Games Ltd
구글플레이,2025-07-28,97,에이지 오브 제트: 타워 디펜스,CamelStudio
구글플레이,2025-07-28,98,저니 오브 모나크,NCSOFT
구글플레이,2025-07-28,99,라이즈 오브 킹덤즈,LilithGames
구글플레이,2025-07-28,100,레이싱 마스터(Racing Master),Exptional Global
구글플레이,2025-07-29,1,리니지M,NCSOFT
구글플레이,2025-07-29,2,WOS: 화이트아웃 서바이벌,Century Games PTE. LTD.
구글플레이,2025-07-29,3,라스트 워: 서바이벌,FUNFLY PTE. LTD.
구글플레이,2025-07-29,4,마비노기 모바일,NEXON Company
구글플레이,2025-07-29,5,승리의 여신: 니케,Level Infinite
구글플레이,2025-07-29,6,세븐나이츠 리버스,Netmarble
구글플레이,2025-07-29,7,오딘: 발할라 라이징,Kakao Games Corp.
구글플레이,2025-07-29,8,Roblox,Roblox Corporation
구글플레이,2025-07-29,9,로얄 매치 Royal Match,"Dream Games, Ltd."
구글플레이,2025-07-29,10,RF 온라인 넥스트,Netmarble
구글플레이,2025-07-29,11,킹샷:Kingshot,Century Games PTE. LTD.
구글플레이,2025-07-29,12,젠레스 존 제로,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-29,13,갓깨비 키우기-999뽑기 증정,Joy Nice Games
구글플레이,2025-07-29,14,리니지W,NCSOFT
구글플레이,2025-07-29,15,Last Z: Survival Shooter,Florere Game
구글플레이,2025-07-29,16,FC 모바일,NEXON Company
구글플레이,2025-07-29,17,Limbus Company,Project Moon
구글플레이,2025-07-29,18,붕괴: 스타레일,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-29,19,Dark War Survival,Florere Game
구글플레이,2025-07-29,20,리니지2M,NCSOFT
구글플레이,2025-07-29,21,DK모바일 리본,NTRANCE CORP.
구글플레이,2025-07-29,22,탑 히어로즈,RiverGame
구글플레이,2025-07-29,23,씨사이드 익스케이프: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-29,24,I9: 인페르노 나인 - <나만뉴> 콜라보,"Leniu Technology Co., Limited"
구글플레이,2025-07-29,25,가십하버: 합성 & 스토리 게임,Microfun Limited
구글플레이,2025-07-29,26,명일방주,Yostar Limited.
구글플레이,2025-07-29,27,블루 아카이브,NEXON Company
구글플레이,2025-07-29,28,운빨존많겜,111%
구글플레이,2025-07-29,29,한게임 포커,NHN Corp.
구글플레이,2025-07-29,30,꿈의 정원 (Gardenscapes),Playrix
구글플레이,2025-07-29,31,사북성:언데드,Star Entertainment HK
구글플레이,2025-07-29,32,냥코 대전쟁,PONOS Corporation
구글플레이,2025-07-29,33,레전드 오브 이미르,"Wemade Co., Ltd"
구글플레이,2025-07-29,34,인생존망겜,37GAMES
구글플레이,2025-07-29,35,브롤스타즈,Supercell
구글플레이,2025-07-29,36,한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯,NHN Corp.
구글플레이,2025-07-29,37,배틀그라운드,"KRAFTON, Inc."
구글플레이,2025-07-29,38,EA SPORTS FC Online M,NEXON Company
구글플레이,2025-07-29,39,메이플스토리M,NEXON Company
구글플레이,2025-07-29,40,우마무스메 프리티 더비,Kakao Games Corp.
구글플레이,2025-07-29,41,브라운더스트2 - 어드벤처 RPG,NEOWIZ
구글플레이,2025-07-29,42,리니지2 레볼루션,Netmarble
구글플레이,2025-07-29,43,랜드 오브 제일,SINGAPORE JUST GAME TECHNOLOGY PTE. LTD.
구글플레이,2025-07-29,44,로얄 킹덤 (Royal Kingdom),"Dream Games, Ltd."
구글플레이,2025-07-29,45,컴투스프로야구V25,Com2uS
구글플레이,2025-07-29,46,캔디크러쉬사가 (Candy Crush Saga),King
구글플레이,2025-07-29,47,트릭컬 리바이브,EPIDGames
구글플레이,2025-07-29,48,클래시 로얄,Supercell
구글플레이,2025-07-29,49,실버 앤 블러드:뱀파이어 RPG,Vizta Games
구글플레이,2025-07-29,50,한게임 섯다&맞고,NHN Corp.
구글플레이,2025-07-29,51,나이트 크로우,"Wemade Co., Ltd"
구글플레이,2025-07-29,52,"피망 포커 : 카지노 로얄 - 홀덤, 7포커, 바둑이",NEOWIZ corp
구글플레이,2025-07-29,53,레이븐2,Netmarble
구글플레이,2025-07-29,54,아키에이지 워,Kakao Games Corp.
구글플레이,2025-07-29,55,Travel Town - 결합 어드벤처,Magmatic Games LTD
구글플레이,2025-07-29,56,꿈의 마을 (Township),Playrix
구글플레이,2025-07-29,57,SD건담 지 제네레이션 이터널,Bandai Namco Entertainment Inc.
구글플레이,2025-07-29,58,원신,COGNOSPHERE PTE. LTD.
구글플레이,2025-07-29,59,꿈의 집 (Homescapes),Playrix
